PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,Location
30.7935316,0.6146833,0.05371,0.17443,10.03382235,646.2226563,0.428,348,334,402,402,388,489,728,519,0.304659498,-0.288495575,2692,0.966862018,0.030701754,0.370998117,0.810945274,1.747877528,0.715789474,-0.005464481,511.44,2.19,1.0546,0.68,-0.095603051,0.293932784,-0.091017305,0.311193151,Westport
25.2825612,0.5087031,0.03141,0.12425,9.92535956,646.2226563,0.368,344,318,376,383,362,437,632,437,0.271629779,-0.253968254,2692,0.927021619,0.033333333,0.330526316,0.680851064,1.618266184,0.706666667,-0.046757164,410.64,2.19,1.0546,0.68,-0.051163436,0.287655963,-0.060365419,0.291449631,Westport
24.6630748,0.4967899,0.03064,0.12425,11.55081321,646.2226563,0.404,333,293,321,307,286,325,472,342,0.245382586,-0.190416141,2692,0.89381491,0.111464968,0.233986928,0.470404984,1.310080453,1.097222222,-0.130755064,322.44,2.19,1.0546,0.68,-0.028192462,0.260718439,-0.063296231,0.292963343,Westport
26.755924,0.537037,0.04539,0.16965,23.84150282,646.2226563,0.408,339,300,331,321,294,350,502,362,0.261306533,-0.205282113,2692,0.914100975,0.113846154,0.251870324,0.516616314,1.347085185,1.072727273,-0.113857017,357.24,2.19,1.0546,0.68,-0.05314268,0.272285267,-0.06409302,0.292914349,Westport
31.642962,0.6310185,0.06124,0.19355,28.54887249,684.4375,0.442,341,314,353,345,322,392,585,421,0.289966924,-0.247334755,2692,0.949361166,0.085872576,0.301446051,0.657223796,1.511688562,0.933333333,-0.065495208,427.08,2.19,1.0546,0.68,-0.061935854,0.281313761,-0.063241741,0.288805963,Westport
29.122054,0.5825395,0.0508,0.17443,33.91738356,684.4375,0.457,332,292,315,298,273,328,481,357,0.275862069,-0.208542714,2692,0.932177339,0.141891892,0.24450194,0.526984127,1.323386243,1.258503401,-0.115808824,365.04,2.19,1.0546,0.68,-0.059029432,0.280185661,-0.071619498,0.291089341,Westport
28.63926,0.573255,0.04517,0.15771,40.66134718,411.8269043,0.451,345,314,354,367,327,402,553,430,0.256818182,-0.219404631,2692,0.908461464,0.073569482,0.275663206,0.562146893,1.443000096,0.877358491,-0.094185094,367.56,2.19,1.0546,0.68,-0.068698211,0.26984909,-0.077381381,0.286063467,Westport
32.1619376,0.6409988,0.04227,0.13142,27.0627992,411.8269043,0.448,339,307,346,335,319,374,560,395,0.274175199,-0.236203091,2692,0.930138286,0.075418994,0.291810842,0.61849711,1.492198202,0.89380531,-0.076669415,389.16,2.19,1.0546,0.68,-0.069941605,0.268047486,-0.07167353,0.273763653,Westport
24.9934308,0.5031429,0.05674,0.227,10.9768731,411.8269043,0.428,335,296,329,309,266,338,479,320,0.28590604,-0.185643564,2692,0.944418674,0.210702341,0.236129032,0.455927052,1.17713251,1.5,-0.132246377,405,2.19,1.0546,0.68,-0.066306707,0.265800327,-0.072424426,0.263063772,Westport
26.5408312,0.5329006,0.04376,0.16487,6.924854552,411.8269043,0.441,352,317,364,374,347,407,572,412,0.244831338,-0.222222222,2692,0.893148092,0.043147208,0.286839145,0.571428571,1.498037677,0.74789916,-0.086991221,350.52,2.19,1.0546,0.68,-0.072868508,0.258765457,-0.072628279,0.260504005,Westport
