site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
1896,FALSE,64,42,2,37
1896,FALSE,72,54,3,77
1896,FALSE,77,54,5,90
1896,FALSE,63,49,5,74
1896,FALSE,52,51,5,85
1896,FALSE,57,46,5,71
1896,FALSE,54,39,5,50
1896,FALSE,63,40,6,48
1896,FALSE,85,45,6,41
1896,FALSE,89,60,6,95
1896,FALSE,74,49,7,72
1896,FALSE,102,73,7,101
1896,FALSE,75,50,0,60
1896,FALSE,62,46,0,78
1896,FALSE,103,72,0,70
1896,FALSE,92,63,0,86
1896,FALSE,74,54,0,59
1896,FALSE,68,41,0,39
1896,FALSE,84,51,0,60
1896,FALSE,88,65,0,81
1896,FALSE,70,49,0,79
1896,FALSE,41,32,0,56
1896,FALSE,70,51,0,70
1896,FALSE,38,27,0,22
1896,FALSE,75,53,0,65
1896,FALSE,67,42,0,46
1896,FALSE,72,50,0,56
1896,FALSE,61,42,0,43
1896,FALSE,68,46,0,49
1896,FALSE,54,43,0,70
2183,FALSE,44,38,0,52
2183,FALSE,27,23,0,22
2183,FALSE,42,41,0,71
2183,FALSE,49,40,0,49
2183,FALSE,75,47,0,40
2183,FALSE,66,58,0,39
2187,TRUE,75,49,0,67
2187,TRUE,72,41,0,35
2187,TRUE,81,49,0,80
2187,TRUE,79,46,0,54
2187,TRUE,68,48,0,75
2187,TRUE,82,50,0,49
2187,TRUE,76,48,0,66
2187,TRUE,69,43,0,30
2187,TRUE,64,37,0,34
2187,TRUE,65,49,0,75
2187,TRUE,82,46,0,46
2187,TRUE,75,47,0,34
2187,TRUE,60,44,0,36
2187,TRUE,87,54,0,54
2187,TRUE,57,28,0,21
2187,TRUE,76,45,0,55
2187,TRUE,63,33,0,25
2187,TRUE,88,52,0,NA
2187,TRUE,70,44,0,63
2187,TRUE,40,38,0,NA
2187,TRUE,70,39,0,NA
2187,TRUE,72,39,0,NA
2187,TRUE,75,45,2,48
2187,TRUE,82,48,3,53
2187,TRUE,85,50,3,72
2187,TRUE,66,37,3,39
2187,TRUE,75,40,6,39
2187,TRUE,76,43,10,33
2187,TRUE,60,41,12,27
2187,FALSE,85,54,18,57
2187,FALSE,82,55,21,59
2187,TRUE,78,44,21,30
2187,FALSE,53,31,0,36
