DBH_in,HeighttoTop_ft,Species,CanopyWidth_ft,MostSignificantDefect,Failure_Standardized,ProbabilityofFailure
8,12.5,Chinese elm,13,Dead,whole,4
8,16,Chinese elm,20,Decay,whole,3
5.5,15.5,Crapemyrtle,15,Poor Tree Architecture,whole,1
6.2,14,Crapemyrtle,24,Poor Tree Architecture,whole,1
16,17,Crapemyrtle,27,Poor Tree Architecture,none,2
15.2,20,Crapemyrtle,19,Poor Tree Architecture,none,2
12.5,20.5,Crapemyrtle,21,Poor Tree Architecture,none,2
14.8,20.5,Crapemyrtle,19,Poor Tree Architecture,none,2
15.5,19.5,Crapemyrtle,25,Poor Tree Architecture,none,2
20.7,22.5,Crapemyrtle,27,"",none,2
16,20.5,Crapemyrtle,24,Poor Tree Architecture,none,2
20,23.5,Crapemyrtle,26,Poor Tree Architecture,none,2
8.9,21,baldcypress,,"",branch,1
11.3,19.5,Weeping Bottlebrush,,"",none,2
6.2,13.5,Weeping Bottlebrush,,"",none,2
7.3,18,Weeping Bottlebrush,,"",none,1
8.2,15.5,Weeping Bottlebrush,,"",none,2
5.6,13.5,Weeping Bottlebrush,,"",none,1
3,6,baldcypress,,"",none,3
7.3,17,Weeping Bottlebrush,,"",none,2
7.2,14,Weeping Bottlebrush,,"",none,1
5.9,12.5,baldcypress,,"",none,1
5,10.5,Weeping Bottlebrush,,"",none,1
6.1,15.5,baldcypress,,"",none,1
5.7,12,baldcypress,,"",none,1
6.4,13,baldcypress,,"",none,1
7.1,14,Weeping Bottlebrush,,"",none,1
3.8,9.5,baldcypress,,"",none,1
6.8,14.5,baldcypress,,"",none,1
6.5,13,baldcypress,,"",none,1
6,13.5,baldcypress,,"",none,1
5.7,11.5,baldcypress,,"",none,1
6.4,14,baldcypress,,"",none,1
4.2,12,baldcypress,,"",none,1
4,9.5,baldcypress,,"",none,1
4.2,10,baldcypress,,"",none,1
5.2,11.5,baldcypress,,"",none,1
6.6,19,baldcypress,,"",none,1
6,11,baldcypress,,"",none,1
4.9,11.5,baldcypress,,"",none,1
6.1,15,baldcypress,,"",none,1
3.2,10.5,baldcypress,,"",none,1
6.2,12.5,baldcypress,,"",none,1
2.2,7.5,baldcypress,,"",none,1
2.9,8,baldcypress,,"",none,1
5.1,11.5,baldcypress,,"",none,1
4.6,9.5,baldcypress,,"",none,1
4.7,13.5,baldcypress,,"",none,1
6,12.5,baldcypress,,"",none,1
6.1,13,baldcypress,,"",none,1
1.9,8,baldcypress,,"",none,2
3.3,9.5,baldcypress,,"",none,1
6.2,18,baldcypress,,"",none,1
7.5,10.5,Crapemyrtle,19,Poor Tree Architecture,none,1
14.9,20.5,Weeping Bottlebrush,32,Crack,branch,2
5,20.5,Carolina Laurelcherry,19,Poor Tree Architecture,none,3
47.2,55.5,Live oak,85,Poor Tree Architecture,none,1
6.2,28,Carolina Laurelcherry,13,Poor Tree Architecture,none,2
14.9,33,Live oak,27,Weak Branch Union,none,3
6.7,28,Carolina Laurelcherry,13,Poor Tree Architecture,none,2
8.7,29,Live oak,12,Poor Tree Architecture,none,2
8.5,28.5,Carolina Laurelcherry,22,Poor Tree Architecture,none,2
5.9,24,southern magnolia,18,Poor Tree Architecture,none,1
23.5,37.5,Live oak,53,Weak Branch Union,none,2
21.2,47.5,Live oak,38,Poor Tree Architecture,none,2
22.3,62,slash pine,35,Dead,none,4
52.2,48,Live oak,107,Decay,none,2
57,69,Live oak,103,Weak Branch Union,none,2
36.1,54.5,Live oak,92,"",none,2
25.5,47,Live oak,53,"",none,2
40.9,44,Live oak,92,Dead,none,4
18.5,34.5,Live oak,39,Decay,none,3
19.8,33,Live oak,43,Poor Tree Architecture,none,1
22.6,40.5,Live oak,40,Weak Branch Union,none,2
56.8,53.5,Live oak,80,Dead,none,4
54.2,55.5,Live oak,99,Poor Tree Architecture,none,2
7.4,32,Brazilian Pepper,44,Poor Tree Architecture,none,3
41,53.5,Live oak,91,Weak Branch Union,none,3
19.3,37.5,Live oak,60,Weak Branch Union,none,2
5.2,25,Carolina Laurelcherry,15,Leaning Tree,none,2
15.5,40.5,Live oak,26,Poor Tree Architecture,none,2
10,38,Laurel Oak,29,Root Problems,none,3
9.3,27,Live oak,26,Weak Branch Union,none,2
5.8,30,Laurel Oak,20,Weak Branch Union,none,1
6.5,20,Live oak,19,Poor Tree Architecture,none,2
13.2,34,Live oak,28,Root Problems,none,2
13.3,40,Laurel Oak,23,Decay,none,2
13.2,37.5,Live oak,27,Poor Tree Architecture,none,2
7.8,19.5,Laurel Oak,25,Weak Branch Union,none,2
9.4,33,Live oak,22,Poor Tree Architecture,none,1
9.3,26,Laurel Oak,27,Decay,none,2
3.5,20.5,Laurel Oak,15,Leaning Tree,none,2
6,22.5,Live oak,18,Poor Tree Architecture,none,1
17,35.5,Laurel Oak,36,Poor Tree Architecture,none,3
7.6,19,Live oak,19,Leaning Tree,none,2
7.3,32,Laurel Oak,15,Weak Branch Union,none,1
16.2,37,Live oak,45,Leaning Tree,none,2
3.6,20,Crapemyrtle,22,Poor Tree Architecture,none,2
3.3,22.5,Crapemyrtle,20,Poor Tree Architecture,none,2
29.5,52,Live oak,76,Poor Tree Architecture,none,1
2,16.5,Crapemyrtle,20,Poor Tree Architecture,none,2
2.7,17,Crapemyrtle,21,Decay,none,2
2.9,19.5,Crapemyrtle,20,Poor Tree Architecture,none,2
2.9,22.5,Crapemyrtle,26,Poor Tree Architecture,none,2
3.7,22,Crapemyrtle,24,Poor Tree Architecture,none,2
3.5,21.5,Crapemyrtle,23,Poor Tree Architecture,none,2
4.6,20.5,Crapemyrtle,17,"",none,1
4.8,20.5,Crapemyrtle,16,Poor Tree Architecture,none,2
51,53,Live oak,96,Dead,branch,4
24,65.5,slash pine,38,"",branch,1
22.8,20.5,Laurel Oak,41,Decay,whole,4
29,38,red maple,37,Poor Tree Architecture,whole,3
7.8,20,Laurel Oak,25,Dead,whole,3
50.2,59.5,Live oak,73,Weak Branch Union,branch,3
25.9,37.5,Live oak,64,Poor Tree Architecture,branch,2
15.7,35,Live oak,28,Dead,branch,4
20.6,38.5,Live oak,42,Leaning Tree,branch,2
38.8,43,Live oak,90,Poor Tree Architecture,branch,2
43.4,63,Live oak,74,Dead,whole,4
31.5,35,Live oak,54,Poor Tree Architecture,none,2
13.3,38.5,Laurel Oak,22,Poor Tree Architecture,none,2
16.2,29,Laurel Oak,40,Decay,none,3
5,16.5,Carolina Laurelcherry,9,Poor Tree Architecture,none,1
7.4,16,Chinese elm,23,Root Problems,none,2
6.5,18.5,Chinese elm,28,Root Problems,none,2
17.9,9,Yew Podocarpus,11,Poor Tree Architecture,none,2
11.2,28.5,Laurel Oak,33,Weak Branch Union,branch,1
16.2,24,Laurel Oak,27,Decay,branch,3
26.6,34.5,Live oak,60,Poor Tree Architecture,branch,2
10.5,10.5,Melaleuca spp.,11,Decay,whole,4
10.5,17,Melaleuca spp.,10,Decay,whole,4
22.5,37.5,Laurel Oak,50,Weak Branch Union,branch,3
18.5,48.5,Laurel Oak,22,Poor Tree Architecture,none,3
15,47,Laurel Oak,33,Weak Branch Union,none,2
9.4,45.5,Laurel Oak,25,Decay,none,3
6,10.5,Crapemyrtle,12,Poor Tree Architecture,none,1
3.8,8,Crapemyrtle,10,Poor Tree Architecture,none,1
17.4,32.5,Red Mulberry,24,Decay,none,3
